id,x,y,z,x_transformed,y_transformed
246,52.7907,2.10925,3.135,-1.3053332150147796,53.501532499088576
247,53.0392,1.94912,3.13074,-1.1409774366191499,53.74725804722708
248,61.4093,2.16829,3.53086,-1.2169920670033585,62.11988196538246
249,61.4068,1.89968,3.50818,-0.9484640874366226,62.11278927267753
250,61.1523,2.18347,3.38291,-1.2365643823009682,61.86317910822287
251,61.1564,1.88576,3.39817,-0.9388278015361178,61.86218785928558
252,67.2663,2.24531,3.76996,-1.1938498738327774,67.97734263697858
253,67.3531,1.97482,3.72945,-0.9219151965730695,68.05950474140427
254,67.4397,2.32438,3.5515,-1.2699432849675834,68.15206933122383
255,67.6099,2.09367,3.64483,-1.0363567053324052,68.31829945459
256,73.2694,2.33305,4.03388,-1.1789278973267419,73.98106525317407
257,73.3426,2.06778,4.03121,-0.9124450081303614,74.04971860462577
258,73.4608,2.38452,3.82747,-1.2271175552894493,74.1733173734886
259,73.6122,2.1526,3.95922,-0.9926426204688467,74.32072955528128
260,78.8138,2.40176,4.13511,-1.1528221780372103,79.52582953270122
261,78.957,2.17233,4.23132,-0.9209770938922848,79.66508549077064
262,79.0334,2.57026,4.15713,-1.3175425238048648,79.74827866776401
263,79.2022,2.33242,4.21567,-1.076850925708566,79.91298707740314
264,84.9484,2.61009,4.55936,-1.256224005295143,85.66309493441067
265,84.849,2.37011,4.70545,-1.0179787675572607,85.55960596352382
266,84.8094,2.50319,4.32842,-1.151716445164615,85.52228733562578
267,84.876,2.23701,4.44635,-0.8844365447690521,85.58432609161379
268,90.9205,2.66202,4.85862,-1.2060273444382579,91.63520975498628
269,90.8659,2.39238,4.81159,-0.9373603919490325,91.57600706720817
270,91.0906,2.65171,4.62526,-1.1928102512254009,91.80510859120066
271,91.15,2.37446,4.74588,-0.914585084684341,91.85975910998319
272,96.7484,2.72055,5.01155,-1.164895445873796,97.46325851403252
273,96.9669,2.50529,5.01485,-0.9459307084451494,97.67804576077403
274,96.9675,2.89717,4.9818,-1.3377431541377542,97.68534656897447
275,97.1461,2.69728,5.11407,-1.1348284338773746,97.86050246639631
276,102.193,2.85147,5.2753,-1.2026971469942531,102.90930113577103
277,102.374,2.62416,5.28362,-0.9723253972102326,103.08638781793952
278,102.408,3.00962,5.39434,-1.357147663021484,103.12697396503302
279,102.595,2.78397,5.34762,-1.1283330743971802,103.3100881549056
280,106.359,2.92111,5.75543,-1.201091045078731,107.07588284624264
281,106.632,2.78551,5.74548,-1.0608427460417131,107.34652425958735
282,106.307,2.78879,5.49746,-1.0696795574341251,107.02162786200128
283,106.462,2.56987,5.62669,-0.8481411642682706,107.17286180909483
284,114.951,3.0503,6.03666,-1.1833444836979623,115.66883572145726
285,114.947,2.76631,6.05299,-0.8994644017944607,115.65998025995256
286,114.898,3.01236,5.75087,-1.1463162966116023,115.61519472071065
287,115.051,2.74966,5.80662,-0.8810385030005125,115.76368035037505
288,120.843,3.00322,6.16564,-1.035521957042974,121.5591692457166
289,121.087,2.8451,6.18774,-0.8732528318812959,121.80042982148328
290,120.996,3.23869,6.12143,-1.2683413286421956,121.71617326193319
