time,x,y,z,roll,pitch,yaw
1767717772.036584,118.959679,0.724847,0.715910,-0.024103,0.023442,-0.024656
1767717772.185772,119.135796,0.733952,0.829931,-0.028430,0.002360,-0.027172
1767717772.332204,119.424736,0.743825,0.775089,-0.031128,0.012745,-0.025099
1767717772.486620,119.602257,0.722227,0.726869,-0.030495,0.033062,-0.026939
1767717772.640973,119.844643,0.734257,0.730260,-0.030563,0.023507,-0.028838
1767717772.774873,120.014854,0.745271,0.733602,-0.028968,0.024028,-0.027358
1767717772.915908,120.252548,0.736953,0.763193,-0.022604,0.022191,-0.028464
1767717773.045563,120.412895,0.724084,0.754411,-0.022720,0.024368,-0.033256
1767717773.171088,120.566978,0.725616,0.759270,-0.022773,0.016346,-0.030327
1767717773.302467,120.731110,0.725110,0.708620,-0.016529,0.024775,-0.030434
1767717773.434959,121.043579,0.733398,0.711376,-0.021423,0.031022,-0.031133
1767717773.570209,121.151978,0.739208,0.780157,-0.014115,0.013607,-0.031084
1767717773.702425,121.282738,0.717718,0.786540,-0.018412,0.002328,-0.032130
1767717773.829270,121.583130,0.729114,0.747401,-0.025255,0.014686,-0.034940
1767717773.960743,121.720703,0.729477,0.757799,-0.024759,0.028264,-0.033575
1767717774.093678,121.872154,0.743164,0.762100,-0.036295,0.023119,-0.037298
1767717774.230167,122.186401,0.752464,0.759788,-0.034334,0.016326,-0.029789
1767717774.369530,122.248299,0.738108,0.797596,-0.026795,0.029360,-0.031004
1767717774.505650,122.545860,0.724178,0.770468,-0.038379,0.021280,-0.053381
1767717774.643232,122.740005,0.715565,0.707783,-0.025184,0.042842,-0.051347
1767717774.774272,122.869507,0.728914,0.799898,-0.026856,0.021073,-0.044880
1767717774.917993,123.107758,0.713499,0.738540,-0.012348,0.023151,-0.036690
1767717775.050982,123.292236,0.677809,0.740655,-0.017313,0.032348,-0.046910
1767717775.185875,123.390289,0.717192,0.736183,-0.020343,0.038924,-0.061246
1767717775.337903,123.744125,0.696147,0.737558,-0.016990,0.032041,-0.064269
1767717775.522833,124.003525,0.694001,0.799233,-0.019416,0.015032,-0.066888
1767717775.687583,124.142891,0.668140,0.722963,-0.017642,0.030357,-0.070207
1767717775.843133,124.431503,0.652214,0.718060,-0.014187,0.026938,-0.069009
1767717775.985742,124.583466,0.648175,0.827202,-0.006034,0.017939,-0.068613
1767717776.124313,124.935814,0.645556,0.767639,-0.010754,0.025231,-0.058742
1767717776.260393,125.101433,0.656621,0.730556,-0.006438,0.048366,-0.038189
1767717776.420290,125.190628,0.679474,0.785259,-0.003643,0.020546,-0.010014
1767717776.575245,125.435890,0.675007,0.754327,-0.009797,0.017052,-0.015881
1767717776.735946,125.578583,0.667605,0.762692,-0.006877,0.027676,-0.019089
1767717776.886284,125.904823,0.678112,0.723171,-0.017572,0.017647,-0.018883
1767717777.036283,126.202362,0.675159,0.749038,-0.006975,0.025728,-0.017142
1767717777.178307,126.339790,0.696968,0.824386,-0.014491,0.016288,-0.015189
1767717777.318750,126.623367,0.689897,0.741647,-0.005182,0.022787,-0.006114
1767717777.457835,126.757118,0.696961,0.773479,-0.009986,0.031217,-0.009752
1767717777.598589,127.122055,0.711374,0.768336,-0.008462,0.023664,-0.013323
1767717777.738012,127.215813,0.705172,0.751808,-0.009044,0.025261,-0.014084
1767717777.871080,127.365288,0.692505,0.713135,0.000485,0.038571,-0.016816
1767717778.019303,127.627975,0.707839,0.750506,-0.008342,0.027980,-0.014790
1767717778.165786,127.800140,0.714864,0.761637,0.000009,0.017109,-0.012924
1767717778.295960,127.905472,0.706079,0.801110,-0.008659,0.023486,-0.015541
1767717778.433152,128.226898,0.724098,0.745665,-0.007051,0.027318,-0.018368
1767717778.573442,128.379288,0.721635,0.783907,-0.011623,0.022693,-0.021466
1767717778.720296,128.534210,0.732102,0.759114,-0.018580,0.029683,-0.023813
1767717778.854934,128.831909,0.723295,0.720565,-0.013656,0.027717,-0.030307
1767717778.997499,128.894333,0.728408,0.813037,-0.012565,0.005582,-0.032309
1767717779.147458,129.253326,0.722060,0.721520,-0.011530,0.036999,-0.036698
1767717779.302193,129.391266,0.696467,0.769074,-0.003164,0.037787,-0.040286
1767717779.445392,129.664886,0.704901,0.804124,-0.010946,0.011941,-0.040659
1767717779.592998,129.788910,0.713485,0.702875,0.005829,0.033955,-0.033187
1767717779.741022,130.096207,0.706476,0.739724,0.003476,0.030280,-0.027036
1767717779.876687,130.254227,0.702674,0.773297,0.003719,0.023341,-0.027025
1767717780.010493,130.570740,0.701756,0.817254,0.006899,0.018837,-0.015881
1767717780.157986,130.731750,0.711663,0.787294,0.011003,0.037032,0.008609
1767717780.297252,130.901917,0.791002,0.787741,-0.017585,0.039257,0.042818
1767717780.433541,131.068268,0.797676,0.684170,0.006843,0.044365,0.051104
1767717780.566548,131.233948,0.778857,0.861766,-0.009040,0.015293,0.035029
1767717780.713920,131.375244,0.801736,0.766668,-0.024647,0.009446,0.015360
1767717780.849529,131.712860,0.826403,0.775119,-0.010188,0.054745,0.037653
1767717780.998315,131.842209,0.867181,0.748161,-0.010304,0.020830,0.049798
1767717781.138559,132.071289,0.872116,0.842702,-0.023629,0.028639,0.028855
1767717781.280498,132.178360,0.872254,0.717105,-0.019877,0.032111,0.020455
1767717781.476974,132.492172,0.876400,0.777463,-0.018089,0.030173,-0.002711
1767717781.627811,132.765762,0.877988,0.743888,-0.013159,0.025861,-0.004392
1767717781.794746,132.939072,0.870417,0.787815,-0.015595,0.011880,-0.014252
1767717781.944342,133.168457,0.865371,0.762530,-0.012328,0.015279,-0.021583
1767717782.090298,133.383148,0.864654,0.765845,-0.014163,0.028563,-0.024135
1767717782.237695,133.699326,0.866041,0.773275,-0.022036,0.027088,-0.031040
1767717782.401318,133.822037,0.871740,0.762640,-0.018059,0.027100,-0.030474
1767717782.566988,134.120270,0.868094,0.790122,-0.014892,0.028096,-0.031845
1767717782.739272,134.437927,0.864786,0.762615,-0.020385,0.026220,-0.037670
1767717782.917157,134.710480,0.844778,0.741114,-0.008293,0.026069,-0.039372
1767717783.103501,134.828186,0.861623,0.810925,-0.018046,0.026107,-0.041812
1767717783.268316,135.128876,0.858563,0.745619,-0.018338,0.027955,-0.043456
1767717783.430628,135.418182,0.861461,0.753715,-0.024919,0.040340,-0.047296
1767717783.588311,135.545883,0.855291,0.795724,-0.020015,0.014675,-0.052040
1767717783.754819,135.886688,0.855273,0.826296,-0.021162,0.008719,-0.055818
1767717783.920335,136.126724,0.848464,0.836161,-0.017177,0.011623,-0.052885
1767717784.084866,136.272842,0.841028,0.740743,-0.019068,0.030252,-0.055026
1767717784.243049,136.573547,0.838016,0.741646,-0.022145,0.026354,-0.047493
1767717784.406923,136.689957,0.843261,0.825467,-0.015575,0.012895,-0.045668
1767717784.551683,137.019287,0.828822,0.774949,-0.017238,0.029431,-0.052452
1767717784.708020,137.171570,0.813934,0.733251,-0.009859,0.034908,-0.051029
1767717784.860662,137.447968,0.810935,0.766137,-0.007299,0.019007,-0.053880
1767717785.001025,137.584076,0.798961,0.841875,-0.005805,0.021885,-0.052775
1767717785.148620,137.872055,0.820706,0.708845,0.000484,0.021463,-0.051866
1767717785.286892,138.019135,0.778637,0.793018,0.000348,0.037404,-0.070268
1767717785.428008,138.316147,0.735745,0.814362,-0.015842,0.018001,-0.081982
1767717785.561668,138.483063,0.734803,0.712826,-0.002999,0.026785,-0.060668
1767717785.689842,138.613525,0.771437,0.866018,-0.007515,0.021559,-0.049098
1767717785.819709,138.863266,0.761218,0.802580,-0.007300,0.027215,-0.060850
1767717785.954500,139.033371,0.751089,0.758227,-0.013651,0.031578,-0.062426
1767717786.083011,139.154175,0.758651,0.758122,-0.007591,0.032819,-0.064544
1767717786.233287,139.453491,0.753114,0.815069,-0.015575,0.032446,-0.062278
1767717786.370792,139.625839,0.743794,0.696967,-0.013885,0.018242,-0.060422
1767717786.502750,139.709991,0.758100,0.860252,-0.008879,0.018837,-0.066526
1767717786.630141,140.012756,0.719898,0.809787,-0.014376,0.026572,-0.076348
1767717786.760844,140.187943,0.719606,0.773369,-0.016274,0.031309,-0.078543
1767717786.885889,140.340897,0.706622,0.787145,-0.009938,0.028260,-0.081477
1767717787.010638,140.490952,0.670810,0.759586,-0.012981,0.029722,-0.078689
1767717787.143700,140.816025,0.655168,0.790878,-0.009443,0.024556,-0.040574
1767717787.280490,140.934738,0.675659,0.756806,-0.010905,0.006121,-0.011033
1767717787.416559,141.019257,0.739361,0.875291,-0.018368,0.008301,0.002856
1767717787.551401,141.323074,0.749102,0.845018,-0.009812,0.001681,-0.000292
1767717787.690610,141.502563,0.746174,0.776874,-0.014991,0.024075,-0.002144
1767717787.822909,141.648239,0.736890,0.782232,-0.008789,0.013265,-0.000207
1767717787.957731,141.916946,0.759296,0.756757,-0.008445,0.013936,-0.003898
1767717788.092103,142.080002,0.723492,0.826808,-0.006900,0.019750,0.000996
1767717788.223446,142.220352,0.783277,0.775272,0.003273,0.014466,0.006105
1767717788.358702,142.545456,0.768214,0.817796,-0.009193,0.041764,-0.008008
1767717788.484583,142.693390,0.775316,0.757689,-0.000765,0.056184,-0.004262
1767717788.612847,142.833954,0.769176,0.757827,-0.008849,0.034138,-0.006340
1767717788.745028,143.088745,0.788729,0.794456,0.002573,0.013460,-0.001667
1767717788.866992,143.262070,0.773976,0.783275,-0.005411,0.029857,-0.004790
1767717788.996630,143.367233,0.804395,0.763922,0.004432,-0.000071,-0.004033
1767717789.120621,143.503983,0.808687,0.857645,0.002178,0.030865,-0.017104
